age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,points,positions,slug,steals,team,turnovers,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,year
25,96,220,38,138,3,90,58,4,90,27,54,930,Ryan Arcidiacono,20,96,261,[<Position.POINT_GUARD: 'POINT GUARD'>],arcidry01,27,CHICAGO_BULLS,37,14.3,0.3,-2.8,-0.1,11.2,0.7,0.173,-2.7,2.3,0.7,9.0,1.4,0.627,6.5,0.551,13.5,12.5,-0.2,1.4,0.07,2020
34,50,165,27,122,7,125,32,0,64,21,43,791,Trevor Ariza,21,63,192,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],arizatr01,35,SACRAMENTO_KINGS,28,8.4,0.8,-0.6,1.3,18.3,0.8,0.164,-1.9,2.9,0.3,9.4,2.2,0.739,10.4,0.543,13.7,11.3,0.3,1.1,0.069,2020
34,41,159,47,85,8,87,21,21,78,41,34,702,Trevor Ariza,13,48,231,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],arizatr01,34,PORTLAND_TRAIL_BLAZERS,28,7.7,1.0,-0.5,0.5,12.6,0.5,0.296,-1.0,1.9,1.0,12.8,2.3,0.535,7.4,0.643,13.5,12.6,0.3,1.5,0.101,2020
32,223,397,157,174,1,91,49,6,156,139,60,1215,D.J. Augustin,18,53,511,[<Position.POINT_GUARD: 'POINT GUARD'>],augusdj01,30,ORLANDO_MAGIC,69,26.7,0.1,-1.4,-1.0,8.3,0.8,0.395,-0.3,1.5,1.8,14.2,1.2,0.438,4.8,0.548,12.9,19.1,0.2,2.6,0.101,2020
21,57,465,78,3,51,237,30,25,255,60,0,996,Deandre Ayton,123,97,570,[<Position.CENTER: 'CENTER'>],aytonde01,22,PHOENIX_SUNS,71,9.7,4.5,0.5,-0.4,27.0,1.3,0.168,0.8,13.5,1.1,20.4,1.0,0.006,20.1,0.571,12.4,24.3,0.6,2.4,0.117,2020
24,52,244,53,67,2,85,39,11,85,35,19,687,Dwayne Bacon,15,52,224,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bacondw01,23,CHARLOTTE_HORNETS,37,11.7,0.3,-6.8,-0.9,14.0,0.4,0.217,-5.9,2.3,-1.2,6.1,1.7,0.275,7.9,0.419,12.2,19.5,-0.8,-0.8,-0.053,2020
20,10,167,31,22,12,68,13,6,78,25,4,334,Marvin Bagley III,29,43,185,[<Position.POWER_FORWARD: 'POWER FORWARD'>],baglema01,6,SACRAMENTO_KINGS,18,5.0,3.4,-3.4,-1.3,23.6,0.4,0.186,-2.1,9.5,0.0,15.7,0.9,0.132,16.4,0.512,9.1,25.9,-0.1,0.4,0.055,2020
22,392,628,67,363,30,285,56,47,259,38,139,1817,Lonzo Ball,63,110,695,[<Position.POINT_GUARD: 'POINT GUARD'>],balllo01,80,NEW_ORLEANS_PELICANS,172,29.3,1.4,1.0,0.6,16.6,1.9,0.107,0.4,3.6,0.7,13.7,2.0,0.578,10.1,0.529,20.7,18.6,1.3,2.6,0.068,2020
21,42,282,46,104,85,201,60,0,132,31,37,868,Mo Bamba,98,115,332,[<Position.CENTER: 'CENTER'>],bambamo01,22,ORLANDO_MAGIC,42,7.3,8.9,0.5,1.7,25.7,1.7,0.163,-1.1,11.7,0.9,17.8,1.2,0.369,18.5,0.549,12.2,17.2,0.6,2.5,0.14,2020
35,99,179,18,76,2,38,26,4,74,17,29,391,J.J. Barea,10,25,194,[<Position.POINT_GUARD: 'POINT GUARD'>],bareajo01,4,DALLAS_MAVERICKS,35,37.7,0.4,-1.0,-2.7,10.0,0.2,0.101,1.8,2.7,0.5,14.9,0.5,0.425,6.4,0.519,15.8,24.3,0.1,0.7,0.084,2020
27,152,711,244,243,10,245,64,64,326,196,93,2231,Harrison Barnes,61,82,941,[<Position.POWER_FORWARD: 'POWER FORWARD'>],barneha02,38,SACRAMENTO_KINGS,80,9.9,0.4,-1.2,-1.2,12.7,1.1,0.343,0.0,3.0,3.1,13.3,0.8,0.342,7.7,0.575,8.9,17.6,0.5,4.2,0.091,2020
19,143,727,254,197,17,229,56,55,292,156,63,1704,RJ Barrett,50,122,803,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],barrerj01,55,NEW_YORK_KNICKS,124,12.8,0.9,-4.3,-1.5,14.8,1.1,0.349,-2.8,3.0,-1.6,10.7,1.6,0.271,8.7,0.479,12.9,24.0,-1.0,-0.5,-0.015,2020
29,212,738,133,288,29,289,58,58,332,102,108,1916,Will Barton,76,121,874,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bartowi01,61,DENVER_NUGGETS,88,16.0,1.4,1.2,-0.1,16.8,2.1,0.18,1.2,4.4,2.4,15.7,1.6,0.39,10.6,0.549,9.9,20.0,1.5,4.5,0.113,2020
24,30,206,65,94,20,89,37,0,87,46,31,646,Keita Bates-Diop,21,36,251,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bateske01,17,MINNESOTA_TIMBERWOLVES,14,6.7,2.6,-0.9,-0.1,15.1,0.5,0.316,-0.8,3.3,0.6,12.5,1.2,0.456,9.0,0.535,5.6,15.8,0.2,1.0,0.076,2020
24,0,2,4,0,1,2,2,0,2,3,0,19,Keita Bates-Diop,0,2,7,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bateske01,0,DENVER_NUGGETS,0,0.0,4.8,0.0,0.1,11.7,0.0,2.0,0.0,0.0,0.1,15.8,0.0,0.0,5.9,0.931,0.0,8.6,0.0,0.1,0.218,2020
31,66,81,10,49,8,75,22,3,28,9,14,505,Nicolas Batum,25,41,79,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],batumni01,17,CHARLOTTE_HORNETS,22,18.3,1.5,-1.9,0.9,16.8,0.4,0.123,-2.7,5.2,0.2,9.2,1.7,0.605,10.8,0.463,20.5,9.4,0.0,0.6,0.055,2020
33,67,381,75,168,23,166,42,28,183,56,59,934,Aron Baynes,71,141,481,[<Position.CENTER: 'CENTER'>],baynear01,10,PHOENIX_SUNS,50,11.0,2.2,-1.1,-0.9,20.2,0.7,0.197,-0.2,8.3,1.3,15.1,0.5,0.441,14.1,0.581,10.8,21.1,0.2,2.0,0.103,2020
