age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,points,positions,slug,steals,team,turnovers,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,year
21,4,22,5,9,1,3,9,0,6,4,1,53,Ignas Brazdeikis,2,3,17,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],brazdig01,0,NEW_YORK_KNICKS,2,10.6,1.8,-8.9,-3.9,6.2,0.0,0.227,-5.0,3.9,-0.1,3.3,0.0,0.409,5.0,0.351,7.6,21.0,-0.1,-0.1,-0.109,2020
23,115,407,105,159,39,200,65,24,210,89,56,1772,Mikal Bridges,59,142,565,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bridgmi01,93,PHOENIX_SUNS,65,8.9,1.9,0.8,1.5,12.8,1.9,0.258,-0.7,3.6,2.2,13.0,2.5,0.391,8.1,0.623,12.5,12.4,1.3,4.1,0.111,2020
21,114,753,131,300,48,274,65,64,319,106,99,1995,Miles Bridges,88,132,843,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bridgmi02,40,CHARLOTTE_HORNETS,95,9.4,2.2,-2.5,-1.0,15.6,1.3,0.174,-1.5,4.6,0.3,12.1,1.0,0.398,9.9,0.52,10.5,20.0,-0.3,1.6,0.038,2020
21,7,36,10,15,1,17,19,0,13,8,3,135,Oshae Brissett,9,18,37,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],brissos01,4,TORONTO_RAPTORS,7,7.0,0.7,-5.4,0.3,13.0,0.2,0.278,-5.7,7.2,-0.1,6.7,1.4,0.417,10.2,0.458,14.8,15.0,-0.1,0.1,0.042,2020
29,11,59,8,51,4,38,17,1,22,7,20,180,Ryan Broekhoff,5,15,71,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],broekry01,5,DALLAS_MAVERICKS,6,8.3,1.9,0.9,0.4,21.7,0.2,0.136,0.4,3.0,0.2,13.1,1.3,0.864,12.5,0.568,8.8,16.3,0.1,0.4,0.116,2020
27,343,659,162,195,8,186,48,48,289,145,61,1472,Malcolm Brogdon,40,88,784,[<Position.POINT_GUARD: 'POINT GUARD'>],brogdma01,33,INDIANA_PACERS,115,34.5,0.5,1.7,-0.5,13.8,1.4,0.246,2.2,3.0,2.0,17.8,1.1,0.296,8.5,0.537,13.6,25.2,1.4,3.5,0.113,2020
24,128,925,178,358,25,152,65,65,372,144,132,1851,Dillon Brooks,61,246,1020,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brookdi01,57,MEMPHIS_GRIZZLIES,108,10.0,1.2,-4.3,-1.5,8.4,1.3,0.192,-2.8,3.5,-0.3,11.1,1.4,0.387,6.0,0.508,9.7,25.0,-1.1,1.0,0.025,2020
23,230,447,119,96,29,213,58,43,198,88,33,1634,Bruce Brown,61,162,517,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brownbr01,63,DETROIT_PISTONS,100,20.4,1.5,-1.2,0.8,15.0,1.4,0.266,-2.0,4.2,0.8,11.9,1.9,0.215,9.5,0.518,16.7,16.0,0.3,2.1,0.062,2020
22,2,19,5,9,2,2,10,0,6,5,3,40,Charlie Brown,2,3,20,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brownch02,2,ATLANTA_HAWKS,3,7.3,4.2,-2.5,-1.4,5.5,0.0,0.263,-1.1,5.3,0.0,11.1,2.3,0.474,5.4,0.472,12.4,25.1,0.0,0.0,-0.028,2020
23,109,772,216,281,16,264,50,50,378,159,107,1702,Jaylen Brown,54,151,1022,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],brownja02,56,BOSTON_CELTICS,116,10.2,0.9,0.9,-0.1,16.5,2.3,0.28,1.0,3.4,2.1,17.1,1.6,0.364,10.0,0.589,11.8,24.7,1.2,4.5,0.126,2020
20,1,10,8,0,1,11,9,0,4,3,0,33,Moses Brown,3,7,11,[<Position.CENTER: 'CENTER'>],brownmo01,1,PORTLAND_TRAIL_BLAZERS,3,4.1,2.6,-9.9,-1.7,34.0,0.0,0.8,-8.2,9.6,-0.1,6.7,1.4,0.0,22.0,0.407,18.2,21.2,-0.1,0.0,-0.062,2020
24,46,218,35,114,7,137,45,1,80,27,36,665,Sterling Brown,28,45,223,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],brownst02,22,MILWAUKEE_BUCKS,36,8.8,0.9,-2.0,1.0,19.2,1.3,0.161,-3.1,4.4,-0.4,9.3,1.5,0.523,12.3,0.478,13.4,16.7,0.0,1.0,0.071,2020
20,142,506,114,145,6,261,61,14,229,86,50,1519,Troy Brown Jr.,64,110,594,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],browntr01,76,WASHINGTON_WIZARDS,65,13.0,0.3,-1.3,-0.4,19.6,0.9,0.225,-0.8,4.4,1.2,13.7,2.3,0.287,11.7,0.534,10.5,17.0,0.3,2.2,0.069,2020
23,188,388,75,120,4,112,57,16,181,61,43,1022,Jalen Brunson,22,74,466,[<Position.POINT_GUARD: 'POINT GUARD'>],brunsja01,22,DALLAS_MAVERICKS,66,26.9,0.3,-0.8,-0.9,11.3,0.7,0.193,0.1,2.3,1.6,15.0,1.0,0.309,6.9,0.553,13.6,20.4,0.3,2.3,0.108,2020
22,71,307,95,54,33,185,38,28,184,70,22,901,Thomas Bryant,75,85,460,[<Position.CENTER: 'CENTER'>],bryanth01,14,WASHINGTON_WIZARDS,48,11.9,3.2,0.9,-1.2,23.4,0.5,0.309,2.1,8.8,2.4,20.0,0.7,0.176,15.8,0.659,12.1,18.3,0.7,2.9,0.153,2020
28,42,224,21,111,3,55,29,19,90,17,37,684,Reggie Bullock,13,56,234,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bullore01,25,NEW_YORK_KNICKS,19,8.8,0.4,-3.0,-0.3,8.8,0.3,0.094,-2.7,2.0,0.2,9.3,1.8,0.496,5.3,0.502,7.5,15.6,-0.2,0.5,0.036,2020
27,53,127,18,38,1,20,25,0,59,13,16,329,Trey Burke,15,21,147,[<Position.POINT_GUARD: 'POINT GUARD'>],burketr01,7,PHILADELPHIA_76ERS,12,24.2,0.3,-0.5,-1.1,6.7,0.2,0.142,0.7,5.0,0.6,15.4,1.0,0.299,5.9,0.545,8.2,19.3,0.1,0.9,0.129,2020
28,151,601,224,224,17,189,48,18,244,201,84,1390,Alec Burks,37,107,773,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],burksal01,50,GOLDEN_STATE_WARRIORS,76,17.4,1.1,0.1,-0.6,15.3,0.8,0.373,0.7,2.8,1.6,16.1,1.7,0.373,8.8,0.552,9.8,23.8,0.7,2.5,0.085,2020
28,20,100,27,49,0,30,11,0,39,24,16,222,Alec Burks,6,13,118,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],burksal01,8,PHILADELPHIA_76ERS,9,13.4,0.0,-1.7,-1.5,14.9,0.2,0.27,-0.2,3.0,0.2,14.9,1.8,0.49,9.0,0.527,7.4,23.5,0.0,0.5,0.103,2020
26,11,105,12,46,10,42,34,0,39,6,10,284,Deonte Burton,6,28,94,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],burtode02,5,OKLAHOMA_CITY_THUNDER,14,5.6,3.0,-5.8,-0.4,15.9,0.3,0.114,-5.5,2.4,-0.6,5.9,0.9,0.438,9.4,0.426,11.3,19.3,-0.3,-0.3,-0.046,2020
30,331,722,490,117,29,261,54,54,328,408,29,1851,Jimmy Butler,98,74,1093,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],butleji01,92,MIAMI_HEAT,118,28.1,1.6,5.2,1.3,15.2,2.5,0.679,4.0,6.2,6.0,23.4,2.4,0.162,10.9,0.583,11.2,25.2,3.4,8.5,0.219,2020
24,10,69,3,25,12,27,22,0,28,2,4,192,Bruno Caboclo,17,23,62,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],cabocbr01,10,MEMPHIS_GRIZZLIES,7,7.0,5.4,-2.4,0.8,14.5,0.3,0.043,-3.3,9.5,-0.1,11.9,2.4,0.362,12.0,0.441,9.1,16.7,0.0,0.2,0.051,2020
24,2,8,2,3,4,4,5,0,4,2,0,28,Bruno Caboclo,5,2,10,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],cabocbr01,2,HOUSTON_ROCKETS,2,10.1,12.2,5.7,3.2,15.1,0.1,0.25,2.5,18.6,0.1,23.6,3.3,0.375,16.9,0.563,18.4,16.0,0.1,0.1,0.2,2020
26,105,466,95,221,13,95,63,20,220,74,87,1603,Kentavious Caldwell-Pope,37,117,601,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],caldwke01,53,LOS_ANGELES_LAKERS,55,8.7,0.7,-0.3,0.5,6.3,1.8,0.204,-0.8,2.6,2.0,11.6,1.6,0.474,4.5,0.592,9.8,14.8,0.7,3.8,0.114,2020
22,3,15,4,6,1,5,14,0,6,4,1,45,Vlatko Čančar,5,7,17,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],cancavl01,1,DENVER_NUGGETS,3,9.1,2.0,-4.5,-1.1,12.4,0.0,0.267,-3.5,12.4,0.0,11.4,1.1,0.4,12.4,0.507,15.2,19.1,0.0,0.1,0.069,2020
25,48,388,104,0,72,369,39,39,244,55,0,1279,Clint Capela,168,102,543,[<Position.CENTER: 'CENTER'>],capelca01,33,HOUSTON_ROCKETS,63,5.7,4.8,1.5,0.4,30.5,2.1,0.268,1.1,13.7,2.9,20.7,1.2,0.0,22.0,0.626,12.7,16.0,1.1,5.0,0.186,2020
33,11,29,20,13,2,24,15,0,9,12,3,135,DeMarre Carroll,7,20,33,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],carrode01,2,SAN_ANTONIO_SPURS,10,10.2,1.3,-7.1,-1.1,19.2,0.1,0.69,-6.0,5.6,-0.2,5.0,0.7,0.448,12.4,0.437,20.9,15.4,-0.2,-0.1,-0.038,2020
33,7,25,16,14,2,12,6,0,12,12,4,96,DeMarre Carroll,4,8,40,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],carrode01,2,HOUSTON_ROCKETS,6,10.0,1.8,-0.8,-1.1,13.2,0.1,0.64,0.3,4.3,0.2,13.5,1.0,0.56,8.7,0.624,15.8,16.4,0.0,0.2,0.116,2020
24,65,205,25,117,13,73,50,2,82,21,46,754,Jevon Carter,25,76,231,[<Position.POINT_GUARD: 'POINT GUARD'>],carteje01,38,PHOENIX_SUNS,31,11.7,1.5,-0.6,1.0,11.0,0.7,0.122,-1.6,3.6,0.3,10.4,2.4,0.571,7.2,0.535,12.6,13.9,0.3,1.1,0.068,2020
43,48,304,29,202,25,106,60,0,107,23,61,876,Vince Carter,18,90,298,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],cartevi01,23,ATLANTA_HAWKS,33,7.7,2.4,-4.3,-1.2,13.2,0.4,0.095,-3.1,2.2,-0.6,7.6,1.2,0.664,7.6,0.47,9.4,16.6,-0.5,-0.2,-0.011,2020
20,51,343,152,29,36,266,43,43,183,112,6,1256,Wendell Carter Jr.,139,162,484,[<Position.CENTER: 'CENTER'>],cartewe01,33,CHICAGO_BULLS,72,6.0,2.7,-2.4,-0.3,24.6,1.6,0.443,-2.1,11.6,1.7,15.5,1.3,0.085,17.8,0.59,14.9,16.4,-0.1,3.3,0.127,2020
28,102,242,87,68,20,96,42,0,105,72,20,773,Michael Carter-Williams,44,78,302,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],cartemi01,45,ORLANDO_MAGIC,48,19.4,2.3,0.4,1.7,13.8,1.1,0.36,-1.3,5.9,0.7,15.7,2.8,0.281,9.7,0.539,14.6,18.4,0.5,1.9,0.116,2020
25,102,260,76,107,17,98,58,1,110,58,38,1032,Alex Caruso,14,85,316,[<Position.POINT_GUARD: 'POINT GUARD'>],carusal01,60,LOS_ANGELES_LAKERS,46,12.6,1.4,0.1,2.4,10.1,1.6,0.292,-2.4,1.5,0.6,11.0,2.8,0.412,5.9,0.538,13.6,13.9,0.5,2.2,0.103,2020
26,60,257,57,0,50,184,41,37,144,35,0,940,Willie Cauley-Stein,71,102,323,[<Position.CENTER: 'CENTER'>],caulewi01,45,GOLDEN_STATE_WARRIORS,35,9.9,4.8,0.1,1.6,22.0,1.2,0.222,-1.5,7.9,1.0,16.2,2.3,0.0,14.7,0.573,11.0,14.4,0.5,2.2,0.113,2020
26,10,45,9,1,11,47,13,2,31,5,0,157,Willie Cauley-Stein,13,19,67,[<Position.CENTER: 'CENTER'>],caulewi01,4,DALLAS_MAVERICKS,5,9.6,5.9,3.2,2.3,30.7,0.3,0.2,1.0,8.8,0.5,22.3,1.2,0.022,20.0,0.684,9.3,14.7,0.2,0.8,0.23,2020
37,6,18,13,0,8,41,26,5,14,6,0,219,Tyson Chandler,25,32,34,[<Position.CENTER: 'CENTER'>],chandty01,6,HOUSTON_ROCKETS,8,3.5,3.1,-1.4,1.1,19.8,0.3,0.722,-2.5,11.9,0.3,10.8,1.3,0.0,15.8,0.717,25.2,6.0,0.0,0.6,0.13,2020
32,39,183,23,121,12,134,35,3,74,20,37,734,Wilson Chandler,11,79,205,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],chandwi01,16,BROOKLYN_NETS,34,7.4,1.4,-2.9,1.0,18.3,0.9,0.126,-3.9,1.6,-0.1,7.4,1.0,0.661,10.2,0.531,15.0,13.0,-0.2,0.8,0.05,2020
24,1,7,2,4,0,0,4,0,0,2,0,33,Joe Chealey,0,2,2,[<Position.POINT_GUARD: 'POINT GUARD'>],chealjo01,4,CHARLOTTE_HORNETS,2,3.9,0.0,-12.6,1.7,0.0,0.0,0.286,-14.3,0.0,-0.2,-2.8,6.1,0.571,0.0,0.127,20.2,13.2,-0.1,-0.1,-0.189,2020
24,2,5,0,1,1,5,3,0,2,0,0,31,Zylan Cheatham,1,5,4,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],cheatzy01,0,NEW_ORLEANS_PELICANS,3,7.9,2.7,-10.2,0.1,17.1,0.0,0.0,-10.2,3.4,-0.1,0.1,0.0,0.2,10.2,0.4,37.5,10.5,-0.1,-0.1,-0.08,2020
24,28,34,0,16,2,15,10,0,10,0,7,123,Chris Chiozza,0,12,27,[<Position.POINT_GUARD: 'POINT GUARD'>],chiozch01,10,WASHINGTON_WIZARDS,9,28.9,1.4,-1.4,2.1,13.9,0.1,0.0,-3.6,0.0,-0.1,9.2,3.8,0.471,6.7,0.397,20.9,14.5,0.0,0.0,-0.002,2020
24,20,45,2,25,0,14,11,0,22,2,11,126,Chris Chiozza,6,11,57,[<Position.POINT_GUARD: 'POINT GUARD'>],chiozch01,5,BROOKLYN_NETS,8,24.5,0.0,3.0,1.1,11.2,0.1,0.044,1.8,5.0,0.3,16.5,1.9,0.556,8.2,0.621,14.8,17.9,0.2,0.4,0.154,2020
22,114,385,156,39,62,251,59,21,210,120,8,1196,Marquese Chriss,114,122,548,[<Position.POWER_FORWARD: 'POWER FORWARD'>],chrisma01,39,GOLDEN_STATE_WARRIORS,78,15.3,4.7,0.6,0.5,23.6,1.3,0.405,0.1,10.0,2.1,19.4,1.6,0.101,16.5,0.604,14.7,19.0,0.8,3.4,0.136,2020
25,12,59,7,51,7,29,18,0,23,6,18,212,Gary Clark,11,21,70,[<Position.POWER_FORWARD: 'POWER FORWARD'>],clarkga01,2,HOUSTON_ROCKETS,2,7.6,2.8,-0.5,-0.9,14.4,0.2,0.119,0.4,5.4,0.4,11.9,0.4,0.864,9.9,0.564,3.1,12.5,0.1,0.6,0.126,2020
25,3,42,2,35,7,29,17,1,15,2,10,213,Gary Clark,16,10,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],clarkga01,3,ORLANDO_MAGIC,3,1.9,3.0,-3.9,-1.3,15.1,0.2,0.048,-2.7,7.8,0.1,8.8,0.7,0.833,11.3,0.49,6.5,9.3,-0.1,0.3,0.07,2020
23,72,408,93,52,42,214,50,3,254,73,21,1086,Brandon Clarke,78,82,602,[<Position.POWER_FORWARD: 'POWER FORWARD'>],clarkbr01,26,MEMPHIS_GRIZZLIES,46,10.1,3.3,3.5,0.7,20.3,1.3,0.228,2.8,7.7,3.1,21.8,1.1,0.127,14.1,0.67,9.3,19.0,1.5,4.4,0.192,2020
27,70,326,86,159,8,48,29,0,144,76,59,666,Jordan Clarkson,21,33,423,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],clarkjo01,17,CLEVELAND_CAVALIERS,39,17.0,1.0,2.7,-1.4,8.1,0.1,0.264,4.1,3.5,1.4,18.6,1.2,0.488,5.8,0.581,9.7,25.9,0.8,1.5,0.108,2020
27,54,427,59,194,7,72,34,0,206,46,71,861,Jordan Clarkson,26,59,529,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],clarkjo01,26,UTAH_JAZZ,43,10.5,0.7,0.7,-0.9,8.8,0.8,0.138,1.6,3.5,1.2,17.4,1.5,0.454,6.2,0.584,8.7,25.3,0.6,2.0,0.112,2020
20,16,48,21,7,8,25,15,0,27,11,1,187,Nicolas Claxton,19,14,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],claxtni01,1,BROOKLYN_NETS,9,12.6,3.5,-0.7,0.0,13.4,0.2,0.438,-0.7,10.7,0.3,14.9,0.3,0.146,12.1,0.577,13.6,14.8,0.1,0.5,0.124,2020
22,22,126,7,94,5,20,29,0,51,6,33,251,Chris Clemons,3,20,141,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],clemoch01,6,HOUSTON_ROCKETS,17,13.5,1.7,-1.3,-1.7,8.4,0.2,0.056,0.4,1.2,0.1,12.6,1.1,0.746,4.8,0.546,11.6,24.0,0.1,0.2,0.046,2020
25,0,6,2,1,1,3,6,0,2,1,0,22,Antonius Cleveland,0,2,5,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],clevean01,1,DALLAS_MAVERICKS,1,0.0,3.9,-8.3,0.7,14.0,0.0,0.333,-8.9,0.0,-0.1,2.9,2.2,0.167,7.1,0.363,12.7,15.3,0.0,0.0,-0.074,2020
22,9,33,3,7,1,10,13,0,13,1,1,98,Amir Coffey,4,12,28,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],coffeam01,1,LOS_ANGELES_CLIPPERS,3,12.6,0.9,-6.8,-1.1,10.3,0.1,0.091,-5.7,4.3,-0.1,5.9,0.5,0.212,7.4,0.408,8.0,15.8,-0.1,0.0,0.009,2020
22,60,605,150,147,66,300,41,41,353,120,59,1363,John Collins,116,138,885,[<Position.POWER_FORWARD: 'POWER FORWARD'>],collijo01,31,ATLANTA_HAWKS,75,7.6,4.1,3.1,-0.7,24.0,1.1,0.248,3.7,9.0,3.8,23.5,1.1,0.243,16.4,0.659,10.1,22.7,1.7,4.9,0.174,2020
22,6,19,6,7,2,8,3,3,9,6,3,86,Zach Collins,4,11,27,[<Position.POWER_FORWARD: 'POWER FORWARD'>],colliza01,0,PORTLAND_TRAIL_BLAZERS,6,9.1,2.0,-1.7,-0.7,9.5,0.0,0.316,-1.1,4.9,0.1,9.0,0.0,0.368,7.2,0.624,21.7,13.6,0.0,0.1,0.045,2020
32,178,486,117,213,4,106,41,35,197,93,80,1171,Mike Conley,27,92,567,[<Position.POINT_GUARD: 'POINT GUARD'>],conlemi01,31,UTAH_JAZZ,76,22.8,0.3,0.0,-0.4,9.5,1.0,0.241,0.4,2.7,1.0,13.7,1.3,0.438,6.2,0.527,12.4,23.0,0.6,2.1,0.085,2020
27,95,261,36,137,30,203,61,1,119,27,44,1119,Pat Connaughton,56,60,309,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],connapa01,20,MILWAUKEE_BUCKS,47,10.6,2.3,0.5,1.6,16.9,2.1,0.138,-1.1,5.3,0.9,11.2,0.8,0.525,11.4,0.558,14.5,11.9,0.7,3.0,0.13,2020
26,40,173,9,66,1,33,38,0,76,6,25,409,Quinn Cook,7,23,183,[<Position.POINT_GUARD: 'POINT GUARD'>],cookqu01,11,LOS_ANGELES_LAKERS,25,13.9,0.2,-3.3,-1.0,8.6,0.4,0.052,-2.3,1.9,-0.1,10.5,1.3,0.382,5.3,0.517,12.4,20.8,-0.1,0.4,0.043,2020
22,1,10,6,0,0,6,11,0,7,5,0,35,Tyler Cook,4,4,19,[<Position.POWER_FORWARD: 'POWER FORWARD'>],cookty01,1,CLEVELAND_CAVALIERS,1,4.5,0.0,2.4,-0.6,19.2,0.0,0.6,3.0,12.6,0.2,23.8,1.4,0.0,15.9,0.752,7.3,16.7,0.0,0.2,0.244,2020
29,56,496,94,312,45,251,48,47,216,75,108,1411,Robert Covington,36,148,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],covinro01,80,MINNESOTA_TIMBERWOLVES,73,5.9,2.6,0.0,1.2,19.5,1.7,0.19,-1.2,2.6,0.5,13.5,2.6,0.629,10.7,0.572,12.0,17.8,0.7,2.3,0.078,2020
29,18,152,14,112,35,92,14,13,64,11,40,456,Robert Covington,18,48,179,[<Position.POWER_FORWARD: 'POWER FORWARD'>],covinro01,15,HOUSTON_ROCKETS,20,5.5,6.6,0.5,0.8,21.3,0.7,0.092,-0.3,4.1,0.3,14.1,1.5,0.737,12.7,0.566,11.2,16.1,0.3,1.0,0.108,2020
27,28,143,12,93,4,55,28,1,52,9,30,522,Allen Crabbe,10,36,143,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],crabbal01,15,ATLANTA_HAWKS,12,7.3,0.6,-4.1,-1.1,11.5,0.1,0.084,-3.0,2.0,0.0,7.2,1.3,0.65,6.7,0.482,7.5,12.7,-0.3,0.1,0.008,2020
27,5,34,2,26,0,11,9,0,11,1,6,131,Allen Crabbe,1,11,29,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],crabbal01,0,MINNESOTA_TIMBERWOLVES,5,5.1,0.0,-9.9,-3.2,9.2,0.0,0.059,-6.6,0.8,-0.2,1.1,0.0,0.765,4.8,0.416,12.5,12.5,-0.3,-0.2,-0.068,2020
29,34,208,31,109,32,108,50,19,96,20,36,869,Torrey Craig,48,112,248,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],craigto01,18,DENVER_NUGGETS,22,5.2,3.4,-2.3,0.1,13.8,0.9,0.149,-2.4,6.1,0.8,10.4,1.0,0.524,10.0,0.559,9.0,12.2,-0.1,1.7,0.095,2020
29,125,399,95,266,14,237,45,45,147,75,78,1322,Jae Crowder,40,85,447,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],crowdja01,47,MEMPHIS_GRIZZLIES,54,12.2,0.9,-1.2,0.1,18.4,1.4,0.238,-1.4,3.2,0.5,11.0,1.7,0.667,11.0,0.507,10.9,15.6,0.3,1.9,0.068,2020
29,26,114,26,89,7,68,13,1,50,20,35,373,Jae Crowder,8,41,155,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],crowdja01,20,MIAMI_HEAT,8,10.3,1.9,1.8,1.1,19.6,0.6,0.228,0.7,2.5,0.7,16.0,2.6,0.781,11.4,0.618,6.0,15.8,0.4,1.3,0.168,2020
20,110,569,117,221,38,142,63,35,230,54,66,1506,Jarrett Culver,70,125,580,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],culveja01,57,MINNESOTA_TIMBERWOLVES,81,10.8,2.1,-4.0,-0.8,10.3,1.1,0.206,-3.2,4.7,-1.2,9.6,1.8,0.388,7.4,0.467,11.5,19.2,-0.8,-0.1,-0.004,2020
29,119,532,88,300,8,113,59,20,266,74,136,1448,Seth Curry,26,101,742,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],curryse01,36,DALLAS_MAVERICKS,60,12.1,0.5,1.4,-0.7,8.0,0.9,0.165,2.0,1.9,3.4,16.2,1.2,0.564,5.0,0.65,9.5,18.6,1.2,4.3,0.144,2020
31,33,82,26,49,2,22,5,5,33,26,12,139,Stephen Curry,4,11,104,[<Position.POINT_GUARD: 'POINT GUARD'>],curryst01,5,GOLDEN_STATE_WARRIORS,16,42.3,1.3,3.9,-0.6,17.8,0.1,0.317,4.5,3.0,0.2,21.7,1.7,0.598,10.1,0.557,14.6,33.6,0.2,0.3,0.104,2020
28,14,158,16,112,3,34,41,0,62,10,40,456,Troy Daniels,12,30,174,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],danietr01,8,LOS_ANGELES_LAKERS,9,4.1,0.6,-2.1,-1.0,7.9,0.4,0.101,-1.1,2.9,0.3,9.0,0.8,0.709,5.5,0.527,5.2,16.1,0.0,0.7,0.072,2020
28,0,1,0,1,0,0,1,0,0,0,0,1,Troy Daniels,0,0,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],danietr01,0,DENVER_NUGGETS,0,0.0,0.0,-61.2,-22.8,0.0,0.0,0.0,-38.4,0.0,0.0,-40.8,0.0,1.0,0.0,0.0,0.0,43.4,0.0,0.0,-1.036,2020
26,172,994,457,194,134,393,55,55,508,386,65,1889,Anthony Davis,124,138,1467,[<Position.POWER_FORWARD: 'POWER FORWARD'>],davisan02,82,LOS_ANGELES_LAKERS,135,14.6,6.2,8.5,2.8,22.1,4.1,0.46,5.8,7.3,6.2,28.2,2.1,0.195,14.9,0.614,10.1,29.7,5.0,10.3,0.262,2020
30,8,34,11,0,9,66,25,0,14,5,0,268,Ed Davis,29,55,33,[<Position.CENTER: 'CENTER'>],davised01,10,UTAH_JAZZ,13,3.8,2.8,-3.9,1.7,25.8,0.5,0.324,-5.5,12.4,-0.1,7.3,1.8,0.0,19.4,0.425,25.1,8.5,-0.1,0.4,0.074,2020
22,107,391,52,222,12,171,64,2,181,45,88,1087,Terence Davis,46,104,495,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],daviste02,32,TORONTO_RAPTORS,65,14.6,1.1,1.3,0.6,16.3,1.6,0.133,0.7,4.6,1.4,14.5,1.4,0.568,10.5,0.598,13.6,18.9,0.9,3.0,0.133,2020
30,15,171,28,71,26,121,34,10,69,23,14,541,Dewayne Dedmon,46,93,175,[<Position.CENTER: 'CENTER'>],dedmode01,15,SACRAMENTO_KINGS,47,3.9,4.6,-6.4,-0.1,25.9,0.7,0.164,-6.3,9.3,-0.8,8.5,1.4,0.415,17.4,0.477,20.4,18.6,-0.6,-0.1,-0.005,2020
30,7,84,8,36,15,68,10,8,33,7,8,233,Dewayne Dedmon,14,40,81,[<Position.CENTER: 'CENTER'>],dedmode01,10,ATLANTA_HAWKS,10,4.3,5.4,-4.4,0.1,31.8,0.3,0.095,-4.5,6.4,-0.2,11.4,2.0,0.429,18.9,0.463,10.3,17.4,-0.1,0.2,0.032,2020
29,180,175,37,91,2,57,57,4,62,32,21,821,Matthew Dellavedova,18,78,177,[<Position.POINT_GUARD: 'POINT GUARD'>],dellama01,20,CLEVELAND_CAVALIERS,59,29.0,0.2,-5.2,-1.6,7.8,0.1,0.211,-3.6,2.4,0.1,8.1,1.2,0.52,5.1,0.463,23.6,13.0,-0.7,0.2,0.01,2020
30,340,956,401,30,14,305,61,61,503,338,8,2091,DeMar DeRozan,39,164,1352,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],derozde01,62,SAN_ANTONIO_SPURS,147,26.0,0.6,1.6,-0.5,15.7,1.1,0.419,2.1,2.0,5.1,21.3,1.4,0.031,8.9,0.597,11.5,26.6,1.9,6.2,0.143,2020
