Player,Team,Position,Salary,FantasyScore,C,PF,PG,SF,SG
Tristan Thompson?,CLE,"PF,C",18539130 ,0.51,1,1,0,0,0
Markelle Fultz,ORL,"PG,SG",9745200 ,0.44,0,0,1,0,1
Trevor Ariza,POR,"SG,SF",12200000 ,0.43,0,0,0,1,1
Josh Hart,NOP,"SG,SF",1934160 ,0.39,0,0,0,1,1
Kendrick Nunn?,MIA,"PG,SG",1416852 ,0.34,0,0,1,0,1
Damion Lee,GSW,SG,842327 ,0.33,0,0,0,0,1
Maxi Kleber,DAL,"PF,C",8000000 ,0.32,1,1,0,0,0
Josh Richardson,PHI,"SG,SF",10100000 ,0.31,0,0,0,1,1
Glenn Robinson III,PHI,"SG,SF",1882867 ,0.28,0,0,0,1,1
Derrick Jones Jr.,MIA,"SF,PF",1645357 ,0.28,0,1,0,1,0
Harrison Barnes,SAC,"SF,PF",24147727 ,0.26,0,1,0,1,0
Tim Hardaway Jr.,DAL,"SG,SF",18150000 ,0.21,0,0,0,1,1
Jordan Clarkson,UTA,"PG,SG",13437500 ,0.18,0,0,1,0,1
JaVale McGee,LAL,C,4000000 ,0.16,1,0,0,0,0
P.J. Washington,CHA,"SF,PF",3831840 ,0.13,0,1,0,1,0
Goran Dragic,MIA,"PG,SG",19217900 ,0.11,0,0,1,0,1
Marvin Bagley III?,SAC,"PF,C",8556120 ,0.11,1,1,0,0,0
Caris LeVert,BKN,"SG,SF",2625718 ,0.1,0,0,0,1,1
Gorgui Dieng,MEM,"PF,C",16229213 ,0.05,1,1,0,0,0
Seth Curry?,DAL,"PG,SG",7441860 ,0.04,0,0,1,0,1
Justin Holiday,IND,"SG,SF",4767000 ,0,0,0,0,1,1
Jeff Teague,ATL,PG,19000000 ,-0.1,0,0,1,0,0
Thaddeus Young,CHI,"SF,PF",12900000 ,-0.1,0,1,0,1,0
Willie Cauley-Stein?,DAL,"PF,C",2177483 ,-0.14,1,1,0,0,0
Miles Bridges,CHA,"SF,PF",3755400 ,-0.14,0,1,0,1,0
Delon Wright,DAL,"PG,SG",9473684 ,-0.14,0,0,1,0,1
Rui Hachimura,WAS,"SF,PF",4469160 ,-0.21,0,1,0,1,0
Otto Porter Jr.,CHI,"SF,PF",27250576 ,-0.24,0,1,0,1,0
Dwight Powell?,DAL,"PF,C",10259375 ,-0.29,1,1,0,0,0
Dario Saric,PHO,"PF,C",3481986 ,-0.33,1,1,0,0,0
George Hill?,MIL,"PG,SG",1000000 ,-0.34,0,0,1,0,1
Dorian Finney-Smith,DAL,"SF,PF",4000000 ,-0.34,0,1,0,1,0
Gary Harris,DEN,"SG,SF",17839286 ,-0.35,0,0,0,1,1
Bruce Brown?,DET,SG,1416852 ,-0.36,0,0,0,0,1
Moritz Wagner,WAS,"PF,C",2063520 ,-0.43,1,1,0,0,0
Danny Green,LAL,"SG,SF",14634146 ,-0.49,0,0,0,1,1
Ish Smith?,WAS,PG,5853659 ,-0.49,0,0,1,0,0
Mike Conley,UTA,PG,32511623 ,-0.5,0,0,1,0,0
Dillon Brooks,MEM,"SG,SF",1618520 ,-0.5,0,0,0,1,1
De'Anthony Melton,MEM,"PG,SG",1416852 ,-0.51,0,0,1,0,1
Taurean Prince,BKN,"SF,PF",3481986 ,-0.52,0,1,0,1,0
James Johnson,MIN,"SF,PF",15349400 ,-0.54,0,1,0,1,0
Jerami Grant,DEN,"SF,PF",9346153 ,-0.55,0,1,0,1,0
Rodney Hood?,POR,"SG,SF",5718000 ,-0.58,0,0,0,1,1
Ivica Zubac,LAC,C,6481482 ,-0.71,1,0,0,0,0
Troy Brown Jr.,WAS,"SG,SF",3219480 ,-0.75,0,0,0,1,1
Patty Mills,SAS,PG,12428571 ,-0.97,0,0,1,0,0
Zach Collins?,POR,"PF,C",4240200 ,-1.06,1,1,0,0,0
Royce O'Neale,UTA,SF,1618520 ,-1.08,0,0,0,1,0
Garrett Temple?,BKN,"SG,SF",4767000 ,-1.11,0,0,0,1,1
Enes Kanter,BOS,C,4767000 ,-1.11,1,0,0,0,0
Reggie Jackson,LAC,"PG,SG",17286956 ,-1.15,0,0,1,0,1
Robert Williams,BOS,"PF,C",1937520 ,-1.23,1,1,0,0,0
Josh Okogie,MIN,"PG,SG",2530680 ,-1.24,0,0,1,0,1
Kelly Olynyk,MIA,"PF,C",11667885 ,-1.25,1,1,0,0,0
Cedi Osman,CLE,"SF,PF",2907143 ,-1.27,0,1,0,1,0
Jordan McLaughlin,MIN,PG,79568 ,-1.3,0,0,1,0,0
Michael Carter-Williams,ORL,PG,2028594 ,-1.3,0,0,1,0,0
Jakob Poeltl?,SAS,C,3754886 ,-1.32,1,0,0,0,0
Aron Baynes,PHO,C,5453280 ,-1.33,1,0,0,0,0
Cody Zeller,CHA,"PF,C",14471910 ,-1.38,1,1,0,0,0
Eric Paschall,GSW,"SF,PF",898310 ,-1.42,0,1,0,1,0
Rudy Gay,SAS,"SF,PF",14000000 ,-1.47,0,1,0,1,0
D.J. Augustin,ORL,PG,7250000 ,-1.47,0,0,1,0,0
Kent Bazemore,SAC,"SG,SF",19269662 ,-1.49,0,0,0,1,1
Tyler Herro?,MIA,"SG,SF",3640200 ,-1.5,0,0,0,1,1
Coby White,CHI,PG,5307120 ,-1.54,0,0,1,0,0
Aaron Holiday,IND,"PG,SG",2239200 ,-1.55,0,0,1,0,1
Cam Reddish,ATL,"PG,SG,SF",4245720 ,-1.57,0,0,1,1,1
Langston Galloway,DET,"PG,SG",7333333 ,-1.58,0,0,1,0,1
Kentavious Caldwell-Pope,LAL,"PG,SG,SF",8089282 ,-1.58,0,0,1,1,1
Mo Bamba,ORL,C,5697600 ,-1.67,1,0,0,0,0
T.J. McConnell,IND,PG,3500000 ,-1.76,0,0,1,0,0
Darius Garland?,CLE,PG,6400920 ,-1.84,0,0,1,0,0
Alex Len,SAC,"PF,C",4160000 ,-1.85,1,1,0,0,0
Josh Jackson,MEM,"SG,SF",7059480 ,-1.91,0,0,0,1,1
De'Andre Hunter,ATL,SF,7068360 ,-1.97,0,0,0,1,0
Kevin Porter Jr.?,CLE,SG,1290960 ,-2.01,0,0,0,0,1
Shake Milton,PHI,"PG,SG",1445697 ,-2.02,0,0,1,0,1
Tyus Jones,MEM,PG,8408000 ,-2.02,0,0,1,0,0
Tony Snell,DET,"SG,SF",11392857 ,-2.04,0,0,0,1,1
Monte Morris,DEN,"PG,SG",1588231 ,-2.05,0,0,1,0,1
Victor Oladipo,IND,"PG,SG",21000000 ,-2.09,0,0,1,0,1
Markieff Morris,LAL,"PF,C",2241808 ,-2.1,1,1,0,0,0
Landry Shamet,LAC,PG,1995120 ,-2.12,0,0,1,0,0
Bobby Portis,NYK,"PF,C",15000000 ,-2.14,1,1,0,0,0
Dwight Howard?,LAL,"PF,C",2564753 ,-2.15,1,1,0,0,0
John Henson?,DET,"PF,C",9732396 ,-2.17,1,1,0,0,0
Matisse Thybulle,PHI,"SG,SF",2582160 ,-2.2,0,0,0,1,1
Ky Bowman,GSW,PG,350189 ,-2.21,0,0,1,0,0
Malik Beasley,MIN,"PG,SG",2731714 ,-2.22,0,0,1,0,1
Ian Mahinmi,WAS,C,15450051 ,-2.23,1,0,0,0,0
Harry Giles III,SAC,"PF,C",2578800 ,-2.24,1,1,0,0,0
Skal Labissiere?,ATL,"PF,C",2338847 ,-2.26,1,1,0,0,0
Omari Spellman,MIN,PF,1897800 ,-2.3,0,1,0,0,0
Chris Boucher,TOR,"PF,C",1588231 ,-2.32,1,1,0,0,0
Brad Wanamaker,BOS,"PG,SG",1445697 ,-2.32,0,0,1,0,1
Marvin Williams,CHA,"SF,PF",956349 ,-2.34,0,1,0,1,0
JaMychal Green,LAC,"PF,C",4767000 ,-2.35,1,1,0,0,0
Juan Toscano-Anderson?,GSW,SF,350189 ,-2.38,0,0,0,1,0
Dewayne Dedmon,ATL,C,13333334 ,-2.39,1,0,0,0,0
Ben McLemore,HOU,"SG,SF",2028594 ,-2.42,0,0,0,1,1
Isaiah Thomas,LAC,PG,2320044 ,-2.44,0,0,1,0,0
Terence Davis,TOR,SG,898310 ,-2.44,0,0,0,0,1
Jordan McRae,DEN,"PG,SG",1645357 ,-2.46,0,0,1,0,1
Cameron Johnson?,PHO,"SG,SF",4033440 ,-2.47,0,0,0,1,1
Frank Ntilikina,NYK,"PG,SG",4855800 ,-2.47,0,0,1,0,1
Malik Monk?,CHA,"PG,SG",4028400 ,-2.49,0,0,1,0,1
