Player,Team,Position,Salary,FantasyScore,C,PF,PG,SF,SG
Javonte Green,BOS,PG,898310 ,-6.42,0,0,1,0,0
Rodney McGruder,LAC,"SG,SF",4629630 ,-6.42,0,0,0,1,1
Dennis Smith Jr.,NYK,"PG,SG",4463640 ,-6.46,0,0,1,0,1
Caleb Swanigan,POR,"PF,C",2033160 ,-6.54,1,1,0,0,0
Chasson Randle,WAS,PG,91557 ,-6.57,0,0,1,0,0
Jaylen Nowell,MIN,SG,1400000 ,-6.6,0,0,0,0,1
Dwayne Bacon,CHA,SG,1400000 ,-6.61,0,0,0,0,1
Derrick Walton Jr.,ATL,PG,1445697 ,-6.79,0,0,1,0,0
PJ Dozier,DEN,"PG,SG",79568 ,-6.79,0,0,1,0,1
Jordan Bell,MEM,"PF,C",1620564 ,-6.82,1,1,0,0,0
Donta Hall,DET,PF,101504 ,-6.88,0,1,0,0,0
Wenyen Gabriel,POR,PF,898310 ,-6.88,0,1,0,0,0
Frank Jackson,NOP,PG,1618520 ,-6.93,0,0,1,0,0
D.J. Wilson,MIL,PF,2961120 ,-6.96,0,1,0,0,0
Jared Dudley,LAL,"SF,PF",2564753 ,-7.09,0,1,0,1,0
TJ Leaf,IND,PF,2813280 ,-7.12,0,1,0,0,0
