assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,date,defensive_rebounds,game_score,location,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,opponent,outcome,personal_fouls,plus_minus,points_scored,seconds_played,steals,team,turnovers
10,24,6,9,0,2019-01-27,10,30.2,Location.HOME,14,4,3,2,Team.TORONTO_RAPTORS,Outcome.LOSS,3,-2,35,2153,0,Team.DALLAS_MAVERICKS,3
5,18,1,9,0,2019-01-30,7,8.7,Location.AWAY,7,0,2,1,Team.NEW_YORK_KNICKS,Outcome.WIN,1,15,16,1720,0,Team.DALLAS_MAVERICKS,3
6,25,7,11,0,2019-02-02,10,27.2,Location.AWAY,13,5,4,1,Team.CLEVELAND_CAVALIERS,Outcome.WIN,4,8,35,1964,1,Team.DALLAS_MAVERICKS,2
11,20,9,10,0,2019-02-06,9,14.9,Location.HOME,5,7,2,1,Team.CHARLOTTE_HORNETS,Outcome.WIN,1,9,19,2080,1,Team.DALLAS_MAVERICKS,3
2,14,7,7,0,2019-02-08,2,11.7,Location.HOME,7,3,3,1,Team.MILWAUKEE_BUCKS,Outcome.LOSS,1,-28,20,1602,0,Team.DALLAS_MAVERICKS,2
6,19,8,9,1,2019-02-10,9,20.9,Location.HOME,9,6,4,0,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,3,-4,28,2250,0,Team.DALLAS_MAVERICKS,3
8,17,9,9,0,2019-02-11,10,13.1,Location.AWAY,7,5,2,0,Team.HOUSTON_ROCKETS,Outcome.LOSS,2,-5,21,2172,0,Team.DALLAS_MAVERICKS,5
9,17,7,9,0,2019-02-13,7,12.8,Location.HOME,5,5,3,5,Team.MIAMI_HEAT,Outcome.LOSS,1,-12,18,2001,0,Team.DALLAS_MAVERICKS,6
10,12,12,6,1,2019-02-25,9,22.9,Location.AWAY,7,10,4,1,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,2,1,28,1960,0,Team.DALLAS_MAVERICKS,9
7,16,7,8,0,2019-02-27,9,17.7,Location.HOME,9,5,3,1,Team.INDIANA_PACERS,Outcome.WIN,3,0,26,1903,0,Team.DALLAS_MAVERICKS,7
2,14,12,8,2,2019-03-02,4,16.6,Location.HOME,7,7,1,0,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,1,-14,22,1574,2,Team.DALLAS_MAVERICKS,2
1,16,4,7,2,2019-03-04,5,8.9,Location.AWAY,6,1,3,1,Team.BROOKLYN_NETS,Outcome.LOSS,1,-31,16,1717,1,Team.DALLAS_MAVERICKS,2
7,26,9,8,0,2019-03-06,8,26.6,Location.AWAY,11,7,2,3,Team.WASHINGTON_WIZARDS,Outcome.LOSS,3,-10,31,2147,4,Team.DALLAS_MAVERICKS,2
5,20,5,8,0,2019-03-08,8,16.3,Location.AWAY,9,3,3,0,Team.ORLANDO_MAGIC,Outcome.LOSS,1,-5,24,1958,1,Team.DALLAS_MAVERICKS,3
9,16,9,6,2,2019-03-10,14,20.2,Location.HOME,5,8,1,1,Team.HOUSTON_ROCKETS,Outcome.LOSS,2,-5,19,2236,2,Team.DALLAS_MAVERICKS,3
7,18,9,7,2,2019-03-12,4,-2.3,Location.HOME,5,1,1,2,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,1,-11,12,2022,0,Team.DALLAS_MAVERICKS,9
9,23,7,8,0,2019-03-14,10,18.9,Location.AWAY,10,3,1,1,Team.DENVER_NUGGETS,Outcome.LOSS,1,-2,24,2104,2,Team.DALLAS_MAVERICKS,3
10,26,11,7,0,2019-03-18,8,21.9,Location.HOME,10,8,1,5,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,4,-8,29,2320,2,Team.DALLAS_MAVERICKS,5
6,16,7,4,0,2019-03-20,5,18.1,Location.AWAY,8,7,1,0,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,4,-7,24,1730,0,Team.DALLAS_MAVERICKS,2
3,19,5,10,0,2019-03-21,9,4.6,Location.AWAY,4,3,2,1,Team.SACRAMENTO_KINGS,Outcome.LOSS,1,-23,13,1562,0,Team.DALLAS_MAVERICKS,1
10,14,11,11,0,2019-03-23,10,23.5,Location.AWAY,6,7,4,1,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,3,29,23,1641,3,Team.DALLAS_MAVERICKS,3
12,20,11,9,0,2019-03-26,11,24.8,Location.HOME,9,10,0,1,Team.SACRAMENTO_KINGS,Outcome.LOSS,2,-7,28,2169,0,Team.DALLAS_MAVERICKS,4
7,18,6,9,0,2019-03-28,8,7.7,Location.AWAY,6,4,3,0,Team.MIAMI_HEAT,Outcome.LOSS,4,-8,19,1842,0,Team.DALLAS_MAVERICKS,6
6,21,3,8,1,2019-04-03,8,22.4,Location.HOME,11,3,2,4,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,1,-15,27,1905,0,Team.DALLAS_MAVERICKS,4
11,14,8,5,0,2019-04-09,13,25.5,Location.HOME,6,7,2,3,Team.PHOENIX_SUNS,Outcome.WIN,1,15,21,1931,3,Team.DALLAS_MAVERICKS,4
