team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,offensive_rebounds,personal_fouls,points,steals,turnovers,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,year,champion
ATLANTA_HAWKS,27.27777777777778,101.11111111111111,389.94444444444446,141.33333333333334,22.833333333333332,19.61111111111111,121.5,46.666666666666664,22.77777777777778,189.83333333333334,107.94444444444444,6.888888888888889,1096.111111111111,70.72222222222223,103.94444444444444,494.5,39.833333333333336,68.83333333333333,15.100000000000001,0.7722222222222224,-1.3999999999999997,-0.5222222222222224,11.455555555555556,0.6222222222222222,0.3862222222222222,-0.8833333333333333,5.4444444444444455,1.761111111111111,13.088888888888887,2.0444444444444443,0.07155555555555555,8.372222222222222,0.507,12.316666666666668,17.85,0.6055555555555556,2.377777777777778,0.07127777777777777,1990,0
BOSTON_CELTICS,28.615384615384617,186.3846153846154,549.8461538461538,165.6153846153846,31.076923076923077,35.0,208.23076923076923,68.0,31.53846153846154,274.0769230769231,137.76923076923077,8.153846153846153,1515.7692307692307,82.0,132.07692307692307,694.0769230769231,41.46153846153846,95.53846153846153,17.9,1.0,-0.7000000000000001,-0.1769230769230769,12.307692307692305,1.5846153846153845,0.3068461538461538,-0.5076923076923077,5.823076923076924,2.2615384615384615,13.907692307692306,1.376923076923077,0.056615384615384616,9.238461538461538,0.5273846153846155,15.315384615384614,18.584615384615386,1.076923076923077,3.8538461538461535,0.09392307692307694,1990,0
CHARLOTTE_HORNETS,26.15,104.0,359.15,98.35,30.55,13.1,110.55,41.65,20.5,163.5,74.35,10.25,987.75,48.1,94.45,411.6,38.9,59.7,14.530000000000001,0.8099999999999999,-2.2749999999999995,-0.39,12.56,0.7799999999999998,0.28105,-1.895,6.620000000000002,0.255,12.389999999999999,2.0450000000000004,0.06755,9.405000000000001,0.50995,15.114999999999998,18.565000000000005,0.09999999999999995,1.04,0.045200000000000004,1990,0
CHICAGO_BULLS,26.214285714285715,155.14285714285714,506.42857142857144,152.85714285714286,47.785714285714285,27.714285714285715,162.78571428571428,60.357142857142854,29.285714285714285,252.21428571428572,118.92857142857143,17.857142857142858,1416.4285714285713,76.78571428571429,136.14285714285714,641.2142857142857,58.142857142857146,85.78571428571429,11.992857142857146,1.0571428571428572,-3.414285714285715,-1.2142857142857142,13.392857142857142,1.3214285714285716,0.2682142857142857,-2.2071428571428577,7.035714285714286,2.3357142857142854,11.464285714285714,1.457142857142857,0.08014285714285714,10.214285714285714,0.5054285714285714,15.471428571428572,17.842857142857145,0.9571428571428572,3.65,0.06349999999999999,1990,0
CLEVELAND_CAVALIERS,25.647058823529413,123.88235294117646,410.4117647058824,129.47058823529412,50.05882352941177,30.11764705882353,140.0,47.588235294117645,24.11764705882353,189.05882352941177,96.29411764705883,20.352941176470587,1169.4117647058824,66.3529411764706,98.0,494.7647058823529,37.94117647058823,70.88235294117646,13.305882352941179,1.4588235294117649,-2.376470588235294,-0.7941176470588235,12.441176470588236,1.3411764705882356,0.29747058823529415,-1.6058823529411768,9.576470588235296,1.1470588235294117,13.217647058823529,1.5352941176470591,0.0806470588235294,11.0,0.4854705882352941,12.894117647058822,21.188235294117646,0.5529411764705883,2.5,0.06505882352941177,1990,0
DALLAS_MAVERICKS,27.866666666666667,118.4,455.4,150.73333333333332,32.4,26.533333333333335,161.26666666666668,52.733333333333334,27.333333333333332,216.4,115.66666666666667,10.466666666666667,1323.6666666666667,69.46666666666667,115.53333333333333,558.9333333333333,44.266666666666666,79.53333333333333,16.540000000000003,1.0799999999999998,-1.3733333333333335,-0.47333333333333333,11.72,1.5333333333333337,0.3144666666666666,-0.8999999999999999,5.573333333333333,1.3399999999999999,13.653333333333334,1.493333333333333,0.08113333333333334,8.706666666666667,0.47106666666666663,12.100000000000001,19.740000000000002,0.6933333333333332,2.866666666666667,0.07786666666666667,1990,0
DENVER_NUGGETS,28.857142857142858,162.5,572.5,157.21428571428572,48.357142857142854,23.5,180.85714285714286,64.21428571428571,29.285714285714285,265.42857142857144,124.07142857142857,16.285714285714285,1414.642857142857,83.5,146.21428571428572,671.2142857142857,58.142857142857146,80.21428571428571,13.221428571428572,1.0642857142857143,-0.5785714285714284,0.37142857142857144,14.285714285714286,1.6857142857142855,0.37242857142857144,-0.9571428571428571,5.978571428571429,1.4428571428571428,13.921428571428573,1.8785714285714283,0.06821428571428571,9.89285714285714,0.5215714285714286,12.67857142857143,18.664285714285715,0.8357142857142857,3.135714285714286,0.09750000000000002,1990,0
DETROIT_PISTONS,29.0,142.57142857142858,498.57142857142856,160.85714285714286,38.642857142857146,29.857142857142858,175.57142857142858,58.714285714285715,29.285714285714285,238.07142857142858,122.35714285714286,12.642857142857142,1414.642857142857,84.64285714285714,140.07142857142858,611.1428571428571,36.57142857142857,85.28571428571429,12.235714285714286,1.4142857142857141,-1.4785714285714289,0.8785714285714284,13.728571428571428,2.235714285714286,0.3198571428571429,-2.3785714285714286,6.685714285714285,1.8785714285714286,11.235714285714286,1.3,0.09428571428571429,10.22857142857143,0.48850000000000005,16.692857142857143,18.700000000000006,1.1785714285714286,4.085714285714286,0.08328571428571428,1990,1
GOLDEN_STATE_WARRIORS,26.61111111111111,109.88888888888889,400.44444444444446,158.77777777777777,41.666666666666664,27.11111111111111,132.5,46.666666666666664,22.77777777777778,193.83333333333334,128.5,13.5,1094.7222222222222,50.833333333333336,111.66666666666667,529.6666666666666,42.0,77.83333333333333,10.105555555555554,1.7166666666666666,-3.0055555555555546,-0.9777777777777776,13.93888888888889,0.5111111111111111,0.5617222222222222,-2.05,7.161111111111111,1.2888888888888888,11.244444444444445,1.4722222222222223,0.08722222222222221,10.722222222222223,0.4999999999999999,15.92777777777778,17.45555555555556,0.4055555555555556,1.8055555555555551,0.03838888888888889,1990,0
HOUSTON_ROCKETS,27.625,137.125,453.125,141.6875,30.6875,34.4375,164.875,52.4375,25.625,217.6875,102.0625,9.5625,1237.8125,76.0625,120.875,547.0,50.5625,92.1875,14.88125,1.41875,-1.3062500000000001,1.05625,14.0625,1.98125,0.3073125,-2.3437499999999996,6.018750000000001,0.8687500000000001,12.406250000000002,1.8125000000000002,0.06875,10.125,0.5393125,19.637500000000003,19.125,0.73125,2.8625000000000003,0.0755,1990,0
