G,"Thompson, Klay"
F,"Durant, Kevin"
F,"Green, Draymond"
G,"Curry, Stephen?(C)"
G/F,"Iguodala, Andre?(C)"
F,"Barnes, Matt"
C,"Pachulia, Zaza"
G,"Livingston, Shaun"
G,"McCaw, Patrick"
G,"Clark, Ian"
