age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,points,positions,slug,steals,team,turnovers
31,50,158,18,65,13,140,64,21,75,14,30,928,Dante Cunningham,48,71,194,[<Position.POWER_FORWARD: 'POWER FORWARD'>],cunnida01,27,Team.SAN_ANTONIO_SPURS,22
28,66,465,52,251,12,93,74,2,212,44,113,1399,Seth Curry,27,97,581,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],curryse01,36,Team.PORTLAND_TRAIL_BLAZERS,61
30,361,1340,287,810,25,324,69,69,632,263,354,2331,Stephen Curry,45,166,1881,[<Position.POINT_GUARD: 'POINT GUARD'>],curryst01,92,Team.GOLDEN_STATE_WARRIORS,192
27,26,275,23,194,5,60,51,1,113,18,74,760,Troy Daniels,13,79,318,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],danietr01,26,Team.PHOENIX_SUNS,27
25,218,1026,433,145,135,498,56,56,530,344,48,1850,Anthony Davis,174,132,1452,[<Position.CENTER: 'CENTER'>],davisan02,88,Team.NEW_ORLEANS_PELICANS,112
22,5,22,10,1,5,26,9,0,15,6,0,118,Deyonta Davis,10,12,36,[<Position.CENTER: 'CENTER'>],davisde01,3,Team.ATLANTA_HAWKS,3
29,61,302,162,2,33,478,81,1,186,100,0,1446,Ed Davis,216,226,472,[<Position.CENTER: 'CENTER'>],davised01,35,Team.BROOKLYN_NETS,64
21,0,1,0,0,0,0,1,0,0,0,0,1,Tyler Davis,1,0,0,[<Position.CENTER: 'CENTER'>],davisty01,0,Team.OKLAHOMA_CITY_THUNDER,0
29,90,526,113,217,71,375,64,52,259,92,83,1609,Dewayne Dedmon,105,214,693,[<Position.CENTER: 'CENTER'>],dedmode01,69,Team.ATLANTA_HAWKS,84
24,9,48,10,13,0,24,9,5,22,8,5,169,Sam Dekker,9,13,57,[<Position.POWER_FORWARD: 'POWER FORWARD'>],dekkesa01,11,Team.CLEVELAND_CAVALIERS,5
24,37,208,36,49,7,71,38,0,98,20,14,619,Sam Dekker,44,34,230,[<Position.POWER_FORWARD: 'POWER FORWARD'>],dekkesa01,27,Team.WASHINGTON_WIZARDS,19
24,0,5,2,0,0,2,2,0,1,1,0,15,Ángel Delgado,2,2,3,[<Position.CENTER: 'CENTER'>],delgaan01,1,Team.LOS_ANGELES_CLIPPERS,0
28,29,19,4,11,0,10,12,0,6,4,4,97,Matthew Dellavedova,0,9,20,[<Position.POINT_GUARD: 'POINT GUARD'>],dellama01,2,Team.MILWAUKEE_BUCKS,11
28,152,223,48,119,2,61,36,0,92,38,40,715,Matthew Dellavedova,6,66,262,[<Position.POINT_GUARD: 'POINT GUARD'>],dellama01,12,Team.CLEVELAND_CAVALIERS,57
33,18,118,35,44,8,53,22,2,59,25,14,392,Luol Deng,20,24,157,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],denglu01,15,Team.MINNESOTA_TIMBERWOLVES,14
29,475,1313,441,45,36,408,77,77,631,366,7,2688,DeMar DeRozan,54,177,1635,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],derozde01,86,Team.SAN_ANTONIO_SPURS,199
22,1,33,5,20,1,5,11,0,16,4,10,67,Marcus Derrickson,8,9,46,[<Position.POWER_FORWARD: 'POWER FORWARD'>],derrima01,0,Team.GOLDEN_STATE_WARRIORS,3
22,33,271,67,4,33,257,64,1,168,50,1,896,Cheick Diallo,75,113,387,[<Position.POWER_FORWARD: 'POWER FORWARD'>],diallch01,29,Team.NEW_ORLEANS_PELICANS,49
20,17,165,59,24,10,59,51,3,75,36,4,526,Hamidou Diallo,38,77,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],diallha01,21,Team.OKLAHOMA_CITY_THUNDER,23
29,72,377,106,56,41,230,76,2,189,88,19,1031,Gorgui Dieng,81,134,485,[<Position.CENTER: 'CENTER'>],dienggo01,48,Team.MINNESOTA_TIMBERWOLVES,57
25,311,828,356,370,17,140,68,4,366,287,124,1914,Spencer Dinwiddie,26,187,1143,[<Position.POINT_GUARD: 'POINT GUARD'>],dinwisp01,40,Team.BROOKLYN_NETS,152
22,31,124,12,83,6,49,27,0,50,9,22,411,Donte DiVincenzo,16,38,131,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],divindo01,13,Team.MILWAUKEE_BUCKS,19
19,429,1186,485,514,25,477,72,72,506,346,168,2318,Luka Dončić,86,137,1526,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],doncilu01,77,Team.DALLAS_MAVERICKS,247
22,17,89,26,39,1,34,27,0,32,16,10,251,Tyler Dorsey,9,20,90,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],dorsety01,7,Team.ATLANTA_HAWKS,10
22,39,175,35,93,1,52,21,11,75,22,34,447,Tyler Dorsey,18,33,206,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],dorsety01,7,Team.MEMPHIS_GRIZZLIES,17
24,135,698,98,342,10,228,73,40,290,73,126,2004,Damyean Dotson,34,135,779,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],dotsoda01,58,Team.NEW_YORK_KNICKS,71
22,5,21,2,8,0,11,6,0,8,1,2,51,PJ Dozier,6,2,19,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],doziepj01,2,Team.BOSTON_CELTICS,0
32,174,433,101,164,5,91,36,22,179,79,57,991,Goran Dragić,20,81,494,[<Position.POINT_GUARD: 'POINT GUARD'>],dragigo01,30,Team.MIAMI_HEAT,71
25,112,1052,412,38,138,809,79,79,561,243,5,2647,Andre Drummond,423,272,1370,[<Position.CENTER: 'CENTER'>],drumman01,136,Team.DETROIT_PISTONS,175
33,83,239,46,151,16,121,59,25,101,32,53,1220,Jared Dudley,34,131,287,[<Position.POWER_FORWARD: 'POWER FORWARD'>],dudleja01,36,Team.BROOKLYN_NETS,43
24,277,506,69,96,21,168,46,44,215,55,34,1389,Kris Dunn,19,166,519,[<Position.POINT_GUARD: 'POINT GUARD'>],dunnkr01,68,Team.CHICAGO_BULLS,104
30,457,1383,506,388,84,464,78,78,721,448,137,2702,Kevin Durant,33,155,2027,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],duranke01,58,Team.GOLDEN_STATE_WARRIORS,225
20,2,3,0,1,0,1,3,0,2,0,1,6,Trevon Duval,0,0,5,[<Position.POINT_GUARD: 'POINT GUARD'>],duvaltr01,0,Team.MILWAUKEE_BUCKS,0
22,0,4,0,4,0,1,2,0,1,0,1,16,Vince Edwards,1,0,3,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],edwarvi01,0,Team.HOUSTON_ROCKETS,0
22,1,10,2,4,0,9,2,0,4,2,2,25,Henry Ellenson,0,2,12,[<Position.POWER_FORWARD: 'POWER FORWARD'>],ellenhe01,0,Team.DETROIT_PISTONS,0
22,15,85,23,34,2,52,17,0,35,17,15,234,Henry Ellenson,5,25,102,[<Position.POWER_FORWARD: 'POWER FORWARD'>],ellenhe01,7,Team.NEW_YORK_KNICKS,9
31,29,184,16,155,3,41,25,12,69,14,57,533,Wayne Ellington,6,40,209,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],ellinwa01,24,Team.MIAMI_HEAT,14
31,43,273,33,217,3,52,28,26,115,25,81,764,Wayne Ellington,8,52,336,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],ellinwa01,30,Team.DETROIT_PISTONS,26
24,234,1199,649,263,122,711,64,64,580,522,79,2154,Joel Embiid,160,211,1761,[<Position.CENTER: 'CENTER'>],embiijo01,46,Team.PHILADELPHIA_76ERS,226
28,27,211,58,120,16,80,40,25,104,42,44,949,James Ennis,37,111,294,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],ennisja01,38,Team.HOUSTON_ROCKETS,23
28,14,83,23,36,7,42,18,2,34,16,11,281,James Ennis,23,39,95,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],ennisja01,3,Team.PHILADELPHIA_76ERS,11
21,7,26,13,0,5,28,23,0,15,11,0,113,Drew Eubanks,6,11,41,[<Position.POWER_FORWARD: 'POWER FORWARD'>],eubandr01,2,Team.SAN_ANTONIO_SPURS,8
21,23,53,1,15,3,19,30,1,18,0,4,204,Jacob Evans,6,28,40,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],evansja02,5,Team.GOLDEN_STATE_WARRIORS,11
22,10,13,0,2,0,11,7,0,3,0,0,64,Jawun Evans,1,8,6,[<Position.POINT_GUARD: 'POINT GUARD'>],evansja01,3,Team.PHOENIX_SUNS,6
22,0,1,0,1,0,0,1,0,0,0,0,1,Jawun Evans,0,0,0,[<Position.POINT_GUARD: 'POINT GUARD'>],evansja01,0,Team.OKLAHOMA_CITY_THUNDER,0
29,166,660,160,216,18,168,69,18,257,115,77,1402,Tyreke Evans,33,117,706,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],evansty01,58,Team.INDIANA_PACERS,118
23,110,241,86,62,5,52,42,1,101,68,18,664,Dante Exum,16,69,288,[<Position.POINT_GUARD: 'POINT GUARD'>],exumda01,14,Team.UTAH_JAZZ,52
29,2,42,16,5,4,29,12,0,25,10,1,118,Kenneth Faried,15,8,61,[<Position.CENTER: 'CENTER'>],farieke01,2,Team.BROOKLYN_NETS,6
29,18,223,83,20,19,124,25,13,131,54,7,610,Kenneth Faried,82,74,323,[<Position.CENTER: 'CENTER'>],farieke01,15,Team.HOUSTON_ROCKETS,27
27,89,619,228,78,106,353,76,70,363,154,17,1766,Derrick Favors,207,163,897,[<Position.CENTER: 'CENTER'>],favorde01,56,Team.UTAH_JAZZ,84
26,37,179,73,4,7,139,60,0,95,50,0,746,Cristiano Felício,79,69,240,[<Position.CENTER: 'CENTER'>],feliccr01,11,Team.CHICAGO_BULLS,33
34,52,135,13,61,6,30,33,0,55,12,20,379,Raymond Felton,4,29,142,[<Position.POINT_GUARD: 'POINT GUARD'>],feltora01,10,Team.OKLAHOMA_CITY_THUNDER,14
20,72,431,51,290,16,108,74,74,185,37,106,1931,Terrance Ferguson,33,231,513,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],fergute01,40,Team.OKLAHOMA_CITY_THUNDER,47
25,137,352,67,149,4,96,71,3,153,60,54,1067,Yogi Ferrell,13,64,420,[<Position.POINT_GUARD: 'POINT GUARD'>],ferreyo01,36,Team.SACRAMENTO_KINGS,40
25,95,528,103,254,36,251,81,26,228,73,79,1985,Dorian Finney-Smith,138,186,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],finnedo01,69,Team.DALLAS_MAVERICKS,74
25,175,791,78,413,4,221,82,81,361,69,176,2293,Bryn Forbes,18,159,967,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],forbebr01,45,Team.SAN_ANTONIO_SPURS,80
26,295,1069,170,450,12,220,81,81,468,137,153,2553,Evan Fournier,38,225,1226,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],fournev01,71,Team.ORLANDO_MAGIC,154
21,590,1102,417,232,45,261,81,81,505,303,86,2546,De'Aaron Fox,43,204,1399,[<Position.POINT_GUARD: 'POINT GUARD'>],foxde01,133,Team.SACRAMENTO_KINGS,227
22,1,21,4,6,0,2,10,0,7,1,0,44,Melvin Frazier,3,6,15,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],frazime01,1,Team.ORLANDO_MAGIC,1
28,206,195,41,77,4,105,47,17,88,32,27,909,Tim Frazier,32,93,235,[<Position.POINT_GUARD: 'POINT GUARD'>],fraziti01,25,Team.NEW_ORLEANS_PELICANS,60
28,42,66,13,24,1,22,12,2,28,9,10,211,Tim Frazier,9,19,75,[<Position.POINT_GUARD: 'POINT GUARD'>],fraziti01,5,Team.MILWAUKEE_BUCKS,16
29,8,29,6,13,0,6,6,0,8,6,0,65,Jimmer Fredette,1,5,22,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],fredeji01,3,Team.PHOENIX_SUNS,5
35,20,117,14,79,5,48,36,6,43,11,32,341,Channing Frye,4,44,129,[<Position.CENTER: 'CENTER'>],fryech01,6,Team.CLEVELAND_CAVALIERS,13
20,59,155,37,14,5,44,19,15,65,21,4,427,Markelle Fultz,26,52,155,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],fultzma01,17,Team.PHILADELPHIA_76ERS,25
30,178,884,406,372,23,363,68,68,409,367,161,2059,Danilo Gallinari,54,129,1346,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],gallida01,49,Team.LOS_ANGELES_CLIPPERS,99
27,85,587,96,380,8,122,80,4,228,81,135,1745,Langston Galloway,49,135,672,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],gallola01,37,Team.DETROIT_PISTONS,24
24,7,27,4,8,1,3,4,0,11,4,0,63,Billy Garrett,0,3,26,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],garrebi01,1,Team.NEW_YORK_KNICKS,2
34,248,683,201,221,63,399,53,53,303,152,76,1788,Marc Gasol,56,147,834,[<Position.CENTER: 'CENTER'>],gasolma01,60,Team.MEMPHIS_GRIZZLIES,119
34,101,187,52,52,23,148,26,19,87,40,23,648,Marc Gasol,24,70,237,[<Position.CENTER: 'CENTER'>],gasolma01,24,Team.TORONTO_RAPTORS,36
38,50,88,38,10,14,105,27,6,41,27,5,330,Pau Gasol,22,28,114,[<Position.CENTER: 'CENTER'>],gasolpa01,5,Team.SAN_ANTONIO_SPURS,14
38,2,6,2,3,1,10,3,0,1,1,1,30,Pau Gasol,0,1,4,[<Position.CENTER: 'CENTER'>],gasolpa01,0,Team.MILWAUKEE_BUCKS,2
32,182,746,147,184,34,407,69,51,376,120,74,1842,Rudy Gay,63,159,946,[<Position.POWER_FORWARD: 'POWER FORWARD'>],gayru01,54,Team.SAN_ANTONIO_SPURS,114
28,318,1614,540,757,34,523,77,77,707,453,292,2841,Paul George,105,214,2159,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],georgpa01,170,Team.OKLAHOMA_CITY_THUNDER,205
33,84,537,177,34,39,286,70,57,304,134,11,1686,Taj Gibson,172,186,753,[<Position.POWER_FORWARD: 'POWER FORWARD'>],gibsota01,53,Team.MINNESOTA_TIMBERWOLVES,73
20,85,348,91,6,22,156,58,0,175,58,0,820,Harry Giles,66,150,408,[<Position.POWER_FORWARD: 'POWER FORWARD'>],gilesha01,31,Team.SACRAMENTO_KINGS,73
20,270,716,195,139,45,175,82,73,341,156,51,2174,Shai Gilgeous-Alexander,57,175,889,[<Position.POINT_GUARD: 'POINT GUARD'>],gilgesh01,96,Team.LOS_ANGELES_CLIPPERS,141
26,161,712,522,0,187,732,81,80,476,332,0,2577,Rudy Gobert,309,231,1284,[<Position.CENTER: 'CENTER'>],goberru01,66,Team.UTAH_JAZZ,130
23,14,23,11,6,0,2,16,0,6,9,2,57,Brandon Goodwin,1,7,23,[<Position.POINT_GUARD: 'POINT GUARD'>],goodwbr01,0,Team.DENVER_NUGGETS,3
23,289,1046,253,347,56,445,78,78,470,185,121,2633,Aaron Gordon,129,172,1246,[<Position.POWER_FORWARD: 'POWER FORWARD'>],gordoaa01,57,Team.ORLANDO_MAGIC,162
30,129,938,152,600,27,131,68,53,384,119,216,2158,Eric Gordon,17,143,1103,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],gordoer01,41,Team.HOUSTON_ROCKETS,90
34,65,186,48,0,24,194,47,43,99,35,0,751,Marcin Gortat,67,92,233,[<Position.CENTER: 'CENTER'>],gortama01,6,Team.LOS_ANGELES_CLIPPERS,50
23,121,216,46,121,2,53,46,3,74,35,34,676,Devonte' Graham,10,48,217,[<Position.POINT_GUARD: 'POINT GUARD'>],grahade01,23,Team.CHARLOTTE_HORNETS,30
25,34,191,22,128,7,84,35,21,64,18,38,715,Treveon Graham,23,68,184,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],grahatr01,13,Team.BROOKLYN_NETS,17
24,79,823,221,293,100,321,80,77,409,157,115,2612,Jerami Grant,96,214,1090,[<Position.POWER_FORWARD: 'POWER FORWARD'>],grantje01,61,Team.OKLAHOMA_CITY_THUNDER,67
26,156,220,40,110,6,79,60,1,92,26,40,939,Jerian Grant,19,78,250,[<Position.POINT_GUARD: 'POINT GUARD'>],grantje02,44,Team.ORLANDO_MAGIC,51
23,0,2,0,2,0,0,3,0,0,0,0,2,Donte Grantham,0,0,0,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],grantdo01,0,Team.OKLAHOMA_CITY_THUNDER,0
31,126,630,44,435,53,257,80,80,293,37,198,2216,Danny Green,60,171,821,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],greenda02,73,Team.TORONTO_RAPTORS,75
28,454,422,91,165,70,421,66,66,188,63,47,2065,Draymond Green,60,197,486,[<Position.POWER_FORWARD: 'POWER FORWARD'>],greendr01,95,Team.GOLDEN_STATE_WARRIORS,169
33,40,578,68,441,27,152,73,0,231,57,156,1473,Gerald Green,30,126,675,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],greenge01,33,Team.HOUSTON_ROCKETS,55
28,36,312,80,96,26,180,41,4,151,63,38,900,JaMychal Green,72,123,403,[<Position.POWER_FORWARD: 'POWER FORWARD'>],greenja01,33,Team.MEMPHIS_GRIZZLIES,64
28,14,164,21,80,8,125,24,2,79,17,33,471,JaMychal Green,32,70,208,[<Position.POWER_FORWARD: 'POWER FORWARD'>],greenja01,12,Team.LOS_ANGELES_CLIPPERS,23
32,137,687,206,320,39,252,77,44,326,183,111,2097,Jeff Green,57,160,946,[<Position.POWER_FORWARD: 'POWER FORWARD'>],greenje02,43,Team.WASHINGTON_WIZARDS,101
29,402,1341,550,522,28,465,75,75,619,414,189,2622,Blake Griffin,100,199,1841,[<Position.POWER_FORWARD: 'POWER FORWARD'>],griffbl01,52,Team.DETROIT_PISTONS,253
23,22,60,6,23,1,37,19,3,23,3,8,204,Daniel Hamilton,10,19,57,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],hamilda02,6,Team.ATLANTA_HAWKS,16
25,5,12,2,5,0,1,2,0,3,2,0,26,Dusty Hannahs,0,1,8,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],hannadu01,1,Team.MEMPHIS_GRIZZLIES,1
26,122,726,233,337,6,135,46,46,282,199,117,1499,Tim Hardaway Jr.,26,106,880,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],hardati02,42,Team.NEW_YORK_KNICKS,81
26,37,267,43,140,2,54,19,17,108,33,45,558,Tim Hardaway Jr.,7,35,294,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],hardati02,12,Team.DALLAS_MAVERICKS,24
29,586,1909,858,1028,58,452,78,78,843,754,378,2867,James Harden,66,244,2818,[<Position.POINT_GUARD: 'POINT GUARD'>],hardeja01,158,Team.HOUSTON_ROCKETS,387
25,74,388,73,120,53,192,60,53,189,49,33,1415,Maurice Harkless,77,163,460,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],harklma01,67,Team.PORTLAND_TRAIL_BLAZERS,45
25,162,888,414,17,110,351,82,5,546,266,3,2158,Montrezl Harrell,184,255,1361,[<Position.CENTER: 'CENTER'>],harremo01,71,Team.LOS_ANGELES_CLIPPERS,132
35,122,347,134,200,16,100,68,2,132,102,62,1071,Devin Harris,12,133,428,[<Position.POINT_GUARD: 'POINT GUARD'>],harride01,35,Team.DALLAS_MAVERICKS,56
24,127,637,144,242,19,119,57,48,270,115,82,1639,Gary Harris,41,113,737,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],harriga01,55,Team.DENVER_NUGGETS,68
27,181,748,133,386,17,239,76,76,374,110,183,2293,Joe Harris,52,182,1041,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],harrijo01,38,Team.BROOKLYN_NETS,121
26,150,855,219,258,24,395,55,55,424,192,112,1903,Tobias Harris,37,123,1152,[<Position.POWER_FORWARD: 'POWER FORWARD'>],harrito02,40,Team.LOS_ANGELES_CLIPPERS,109
26,79,399,88,135,13,181,27,27,187,74,44,944,Tobias Harris,32,61,492,[<Position.POWER_FORWARD: 'POWER FORWARD'>],harrito02,11,Team.PHILADELPHIA_76ERS,42
24,0,2,0,1,0,0,1,0,1,0,0,5,Andrew Harrison,0,1,2,[<Position.POINT_GUARD: 'POINT GUARD'>],harrian01,0,Team.MEMPHIS_GRIZZLIES,0
24,17,39,16,14,2,11,10,0,12,16,3,144,Andrew Harrison,4,26,43,[<Position.POINT_GUARD: 'POINT GUARD'>],harrian01,4,Team.CLEVELAND_CAVALIERS,10
24,7,12,2,10,0,3,6,0,3,1,2,38,Andrew Harrison,2,7,9,[<Position.POINT_GUARD: 'POINT GUARD'>],harrian01,0,Team.NEW_ORLEANS_PELICANS,2
25,139,426,123,89,30,189,73,11,184,82,24,1430,Shaquille Harrison,33,124,474,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],harrish01,89,Team.CHICAGO_BULLS,60
23,93,464,80,274,40,213,67,22,189,55,92,1715,Josh Hart,35,147,525,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],hartjo01,64,Team.LOS_ANGELES_LAKERS,58
20,15,41,14,6,12,26,28,0,20,11,2,221,Isaiah Hartenstein,21,56,53,[<Position.POWER_FORWARD: 'POWER FORWARD'>],harteis01,7,Team.HOUSTON_ROCKETS,13
38,2,33,4,12,0,24,10,1,11,3,0,74,Udonis Haslem,3,9,25,[<Position.CENTER: 'CENTER'>],hasleud01,0,Team.MIAMI_HEAT,3
28,244,635,187,231,23,271,72,18,296,156,77,1863,Gordon Hayward,51,104,825,[<Position.POWER_FORWARD: 'POWER FORWARD'>],haywago01,62,Team.BOSTON_CELTICS,105
28,14,67,10,31,11,55,14,0,31,6,11,188,John Henson,16,16,79,[<Position.CENTER: 'CENTER'>],hensojo01,7,Team.MILWAUKEE_BUCKS,12
23,55,314,86,181,24,201,70,25,138,66,66,1358,Juan Hernangómez,64,94,408,[<Position.POWER_FORWARD: 'POWER FORWARD'>],hernaju01,27,Team.DENVER_NUGGETS,37
24,60,295,144,39,20,194,58,3,153,100,15,812,Willy Hernangómez,117,98,421,[<Position.CENTER: 'CENTER'>],hernawi01,16,Team.CHARLOTTE_HORNETS,58
23,88,464,114,152,8,211,58,24,191,87,42,1206,Mario Hezonja,28,110,511,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],hezonma01,57,Team.NEW_YORK_KNICKS,88
24,2,8,5,0,3,5,3,0,4,4,0,32,Isaiah Hicks,2,5,12,[<Position.POWER_FORWARD: 'POWER FORWARD'>],hicksis01,1,Team.NEW_YORK_KNICKS,1
26,205,1360,193,651,33,306,82,82,623,171,278,2615,Buddy Hield,106,202,1695,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],hieldbu01,58,Team.SACRAMENTO_KINGS,146
22,2,10,2,5,0,5,5,0,4,0,1,40,Haywood Highsmith,0,1,9,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],highsha01,1,Team.PHILADELPHIA_76ERS,1
36,26,116,47,3,15,89,42,2,60,31,0,546,Nenê,34,87,151,[<Position.CENTER: 'CENTER'>],hilarne01,18,Team.HOUSTON_ROCKETS,11
32,36,107,20,28,1,15,13,13,55,17,13,344,George Hill,12,35,140,[<Position.POINT_GUARD: 'POINT GUARD'>],hillge01,12,Team.CLEVELAND_CAVALIERS,20
32,99,269,65,125,7,94,47,0,115,53,35,958,George Hill,27,67,318,[<Position.POINT_GUARD: 'POINT GUARD'>],hillge01,40,Team.MILWAUKEE_BUCKS,31
27,55,178,32,101,10,99,44,15,68,23,32,878,Solomon Hill,34,80,191,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],hillso01,23,Team.NEW_ORLEANS_PELICANS,31
22,87,262,50,127,13,62,50,0,105,41,43,646,Aaron Holiday,5,71,294,[<Position.POINT_GUARD: 'POINT GUARD'>],holidaa01,21,Team.INDIANA_PACERS,40
28,518,1159,271,363,54,259,67,67,547,208,118,2402,Jrue Holiday,75,148,1420,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],holidjr01,109,Team.NEW_ORLEANS_PELICANS,210
29,85,394,46,270,21,150,38,38,151,41,97,1325,Justin Holiday,19,79,440,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],holidju01,67,Team.CHICAGO_BULLS,47
29,61,383,60,195,15,127,44,39,149,54,65,1282,Justin Holiday,27,85,417,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],holidju01,54,Team.MEMPHIS_GRIZZLIES,57
30,0,0,0,0,0,0,1,0,0,0,0,1,John Holland,0,0,0,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],hollajo02,0,Team.CLEVELAND_CAVALIERS,0
24,96,487,183,49,27,227,59,21,200,118,9,1234,Rondae Hollis-Jefferson,83,107,527,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],holliro01,44,Team.BROOKLYN_NETS,68
25,60,365,175,0,79,216,70,4,222,128,0,1184,Richaun Holmes,115,194,572,[<Position.CENTER: 'CENTER'>],holmeri01,42,Team.PHOENIX_SUNS,52
26,92,454,114,152,5,94,45,45,194,104,55,1234,Rodney Hood,18,101,547,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],hoodro01,38,Team.CLEVELAND_CAVALIERS,36
26,34,217,41,84,7,38,27,4,98,33,29,659,Rodney Hood,7,45,258,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],hoodro01,21,Team.PORTLAND_TRAIL_BLAZERS,19
32,283,723,95,203,86,338,68,68,387,78,73,1973,Al Horford,120,126,925,[<Position.CENTER: 'CENTER'>],horfoal01,59,Team.BOSTON_CELTICS,102
25,40,252,71,178,11,115,39,13,118,56,74,979,Danuel House,25,80,366,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],houseda01,21,Team.HOUSTON_ROCKETS,35
33,4,69,48,0,4,59,9,9,43,29,0,230,Dwight Howard,24,34,115,[<Position.CENTER: 'CENTER'>],howardw01,7,Team.WASHINGTON_WIZARDS,16
20,214,657,56,353,25,185,75,59,275,41,136,2048,Kevin Huerter,60,155,727,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],huertke01,65,Team.ATLANTA_HAWKS,109
21,0,21,0,11,0,7,5,1,6,0,3,56,Isaac Humphries,4,7,15,[<Position.CENTER: 'CENTER'>],humphis01,1,Team.ATLANTA_HAWKS,0
25,3,13,2,10,0,2,1,0,6,1,4,26,R.J. Hunter,1,3,17,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],hunterj01,1,Team.BOSTON_CELTICS,0
22,34,209,38,50,6,154,44,14,96,23,14,895,Chandler Hutchison,31,59,229,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],hutchch01,23,Team.CHICAGO_BULLS,25
29,99,877,177,169,103,445,74,51,464,135,49,2010,Serge Ibaka,156,211,1112,[<Position.CENTER: 'CENTER'>],ibakase01,29,Team.TORONTO_RAPTORS,114
35,216,302,67,144,51,204,68,13,151,39,48,1578,Andre Iguodala,48,95,389,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],iguodan01,61,Team.GOLDEN_STATE_WARRIORS,52
31,52,381,74,160,20,208,67,7,167,61,58,1231,Ersan İlyasova,94,172,453,[<Position.POWER_FORWARD: 'POWER FORWARD'>],ilyaser01,32,Team.MILWAUKEE_BUCKS,48
31,469,802,123,483,20,295,82,82,359,87,189,2568,Joe Ingles,35,180,994,[<Position.POWER_FORWARD: 'POWER FORWARD'>],inglejo01,98,Team.UTAH_JAZZ,193
